,0,1,2,3,4
98,9.8,5.0,5.4345703125,4.6875,0.0
99,9.9,5.0,5.4345703125,4.6875,0.0
100,10.0,5.7,5.4345703125,4.6875,0.0
101,10.100000000000001,5.7,5.4296875,4.6875,0.0
102,10.200000000000001,5.7,5.4345703125,4.736328125,0.0
103,10.3,5.7,5.4345703125,4.716796875,0.0
104,10.4,5.7,5.439453125,4.7119140625,0.0
105,10.5,5.7,5.4541015625,4.7119140625,0.0
106,10.600000000000001,5.7,5.46875,4.716796875,0.0
107,10.700000000000001,5.7,5.48828125,4.7314453125,0.0
108,10.8,5.7,5.5126953125,4.7412109375,0.0
109,10.9,5.7,5.537109375,4.755859375,0.0
110,11.0,5.7,5.56640625,4.775390625,0.0
111,11.100000000000001,5.7,5.5908203125,4.7900390625,0.0
