Input,Output,Load,UNUSED
2,2.8418,1.7285,0
2,2.8516,1.748,0
2,2.8613,1.7578,0
2,2.8613,1.7627,0
2,2.8662,1.7627,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7725,0
2,2.8613,1.7725,0
2,2.8662,1.7676,0
2,2.8613,1.7725,0
2,2.8662,1.7725,0
2,2.8662,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8613,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7676,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
2,2.8516,1.7676,0
2,2.8564,1.7676,0
2,2.8516,1.7676,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
3,2.8564,1.7676,0
3,2.8516,1.7676,0
3,3.0322,1.9092,0
3,3.4424,2.0605,0
3,3.7842,2.2461,0
3,4.0039,2.4072,0
3,4.1357,2.5195,0
3,4.2188,2.6025,0
3,4.2578,2.6562,0
3,4.2871,2.6904,0
3,4.2969,2.71,0
3,4.3066,2.7246,0
3,4.3066,2.7344,0
3,4.3066,2.7393,0
3,4.3115,2.7441,0
3,4.3066,2.7441,0
3,4.3066,2.7441,0
3,4.3066,2.7441,0
3,4.3115,2.749,0
3,4.3115,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.7539,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3115,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3115,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7588,0
4,4.3066,2.7539,0
4,4.3066,2.7539,0
4,4.4824,2.9053,0
4,4.8828,3.042,0
4,5.2148,3.2178,0
4,5.4395,3.374,0
4,5.5811,3.4912,0
4,5.6641,3.5791,0
4,5.7129,3.6377,0
4,5.7422,3.6768,0
4,5.7568,3.7012,0
4,5.7666,3.7207,0
4,5.7715,3.7305,0
4,5.7715,3.7402,0
4,5.7715,3.7451,0
4,5.7715,3.75,0
4,5.7715,3.75,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7764,3.7549,0
4,5.7764,3.7549,0
4,5.7764,3.7598,0
4,5.7764,3.7549,0
4,5.7715,3.7598,0
4,5.7764,3.7598,0
4,5.7715,3.7598,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7793,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
